protein_id,chain,class
1HYN,P,S-3(1)
1GV4,A,S-3(1)
6TL2,A,S4(1)
6KKT,A,S4(1)
6KKU,A,S4(1)
6NPL,A,S4(1)
6NPH,A,S4(1)
6NPK,A,S4(1)
6DZZ,A,S4(1)
6DZV,A,S4(1)
6F2G,A,S4(1)
6DZW,A,S4(1)
6DZY,A,S4(1)
6F2W,A,S4(1)
1QMG,A,S4(1)
3FR8,A,S4(1)
5NVA,A,S4(1)
6AWQ,A,S4(1)
6AWP,A,S4(1)
6AWO,A,S4(1)
6AWN,A,S4(1)
5M8A,A,S4(1)
5M8J,A,S4(1)
5M8K,A,S4(1)
5M87,A,S4(1)
5J4I,A,S4(1)
5J4N,A,S4(1)
5JAG,A,S4(1)
5JAF,A,S4(1)
5JAE,A,S4(1)
4XPB,A,S4(1)
4XPA,A,S4(1)
4XP6,A,S4(1)
4XNX,A,S4(1)
4XNU,A,S4(1)
4XPF,A,S4(1)
4XPG,A,S4(1)
4XPH,A,S4(1)
4XPT,A,S4(1)
4XP9,C,S4(1)
4XP5,A,S4(1)
4XP4,A,S4(1)
4XP1,A,S4(1)
2XQ2,B,S4(1)
3GI9,C,S4(1)
4DJK,A,S4(1)
4DJI,A,S4(1)
4US3,A,S4(1)
4US4,A,S4(1)
4MME,A,S4(1)
4MMD,A,S4(1)
4MMC,A,S4(1)
4MMA,A,S4(1)
4MM8,A,S4(1)
4MM6,A,S4(1)
4MM9,A,S4(1)
4MM4,A,S4(1)
4MM5,A,S4(1)
4HMK,A,S4(1)
4HOD,A,S4(1)
4FY0,A,S4(1)
3USO,A,S4(1)
3USP,A,S4(1)
3USM,A,S4(1)
3USK,A,S4(1)
3USL,A,S4(1)
3USI,A,S4(1)
3USJ,A,S4(1)
3USG,A,S4(1)
3TT3,A,S4(1)
3TT1,A,S4(1)
4M8J,A,S4(1)
4AIN,A,S4(1)
4DOJ,A,S4(1)
3QE7,A,S4(1)
4D1D,A,S4(1)
4D1C,A,S4(1)
4D1B,A,S4(1)
4D1A,A,S4(1)
4LLH,A,S4(1)
4LLH,B,S4(1)
4LLH,C,S4(1)
2A65,A,S4(1)
2JLN,A,S4(1)
2JLO,A,S4(1)
2Q72,A,S4(1)
2QEI,A,S4(1)
2WIT,A,S4(1)
2WSW,A,S4(1)
2WSX,A,S4(1)
2X79,A,S4(1)
2XQ2,A,S4(1)
3DH4,A,S4(1)
3F3A,A,S4(1)
3F3C,A,S4(1)
3F3D,A,S4(1)
3F3E,A,S4(1)
3F48,A,S4(1)
3F4I,A,S4(1)
3F4J,A,S4(1)
3GI8,C,S4(1)
3GIA,A,S4(1)
3GJC,A,S4(1)
3GJD,A,S4(1)
3GWU,A,S4(1)
3GWV,A,S4(1)
3GWW,A,S4(1)
3HFX,A,S4(1)
3L1L,A,S4(1)
3LRB,A,S4(1)
3LRC,A,S4(1)
3MPN,A,S4(1)
3MPQ,A,S4(1)
3NCY,A,S4(1)
3OB6,A,S4(1)
3P03,A,S4(1)
3QS4,A,S4(1)
3QS5,A,S4(1)
3QS6,A,S4(1)
3TU0,A,S4(1)
4C7R,A,S4(1)
4FXZ,A,S4(1)
4M48,A,S4(1)
4MM7,A,S4(1)
4MMB,A,S4(1)
4MMF,A,S4(1)
2Q6H,A,S4(1)
2QB4,A,S4(1)
2QJU,A,S4(1)
2FG7,C,AOTCases
3KZM,A,AOTCases
1JS1,X,AOTCases
2FG6,C,AOTCases
2G7M,C,AOTCases
2YFK,A,AOTCases
3KZC,A,AOTCases
3KZN,A,AOTCases
3KZO,A,AOTCases
3L02,A,AOTCases
3L04,A,AOTCases
3L05,A,AOTCases
3L06,A,AOTCases
3M4J,A,AOTCases
3M4N,A,AOTCases
3M5C,A,AOTCases
3M5D,A,AOTCases
3Q98,A,AOTCases
1A1S,,OTCase
1AKM,,OTCase
1C9Y,,OTCase
1DUV,,OTCase
1DXH,,OTCase
1EP9,,OTCase
1FB5,,OTCase
1FVO,,OTCase
1ORT,,OTCase
1OTH,,OTCase
1PVV,,OTCase
1VLV,,OTCase
2EF0,,OTCase
2I6U,,OTCase
2OTC,,OTCase
2P2G,,OTCase
2W37,,OTCase
3GD5,,OTCase
3GRF,,OTCase
3SDS,,OTCase
3TPF,,OTCase
3UPD,,OTCase
4AMU,,OTCase
4ANF,,OTCase
4EP1,,OTCase
4F2G,,OTCase
4H31,,OTCase
4JFR,,OTCase
4JHX,,OTCase
4JQO,,OTCase
4KWT,,OTCase
4NF2,,OTCase
4OH7,,OTCase
6OVW,,OTCase
7NNF,,OTCase
7NNV,,OTCase
7NNW,,OTCase
7NNY,,OTCase
7NNZ,,OTCase
7NOR,,OTCase
7NOS,,OTCase
7NOU,,OTCase
7NOV,,OTCase
7NP0,,OTCase
7TMD,,OTCase
8QEU,,OTCase
8QEV,,OTCase
9Y83,,OTCase
9Y8H,,OTCase
